longitude,latitude,altitude,time,tau_cirrus,tau_contrail,rf_sw,rf_lw,width,depth,segment_length,n_ice_per_m,r_ice_vol,location,RHi_era5,flight_level,month,seasonal_factor,RHi_pred,hour,rf_total
12.975,46.147,38829.0,2024-11-10 16:40:00,0.0,0.3157,0.0,10.594,225.0,110.0,3992.0,4670000000000.0,1.497e-06,Venice_Italy,1.2511860356422289,388.29,11,1,1.1164320195738744,16,10.594
13.023,46.161,38839.0,2024-11-10 16:40:00,0.0,0.9241,0.0,29.007,96.0,101.0,0.0,5816000000000.0,1.499e-06,Venice_Italy,1.1252725554643699,388.39,11,1,1.10404966896598,16,29.007
12.951,46.197,38812.0,2024-11-10 16:50:00,0.0,0.0458,0.0,1.147,492.0,127.0,3974.0,4708000000000.0,1.043e-06,Venice_Italy,1.2121579442573034,388.12,11,1,1.1040504270480505,16,1.147
12.999,46.211,38822.0,2024-11-10 16:50:00,0.0,0.1129,0.0,3.482,400.0,120.0,3984.0,4361000000000.0,1.327e-06,Venice_Italy,1.1731356565415276,388.22,11,1,1.1104734840304682,16,3.482
13.046,46.225,38829.0,2024-11-10 16:50:00,0.0,0.254,0.0,8.439,266.0,112.0,3967.0,4629000000000.0,1.474e-06,Venice_Italy,1.1705434167135995,388.29,11,1,1.1164320195738744,16,8.439
13.094,46.239,38835.0,2024-11-10 16:50:00,0.0,0.7015,0.0,22.228,120.0,103.0,0.0,5734000000000.0,1.478e-06,Venice_Italy,1.0840499322964001,388.35,11,1,1.0982989588085228,16,22.228
13.023,46.275,38812.0,2024-11-10 17:00:00,0.0,0.0422,0.0,0.951,521.0,129.0,3934.0,4930000000000.0,9.36e-07,Venice_Italy,1.0485543935521437,388.12,11,1,1.1040504270480505,17,0.951
13.07,46.288,38819.0,2024-11-10 17:00:00,0.0,0.0857,0.0,2.54,452.0,122.0,3962.0,4317000000000.0,1.28e-06,Venice_Italy,1.095787627369822,388.19,11,1,1.1090480839606562,17,2.54
13.118,46.302,38825.0,2024-11-10 17:00:00,0.0,0.2085,0.0,6.774,308.0,114.0,3940.0,4592000000000.0,1.449e-06,Venice_Italy,1.1405795197277588,388.25,11,1,1.1069327931926294,17,6.774
13.165,46.316,38835.0,2024-11-10 17:00:00,0.0,0.5728,0.0,17.969,141.0,105.0,0.0,5656000000000.0,1.462e-06,Venice_Italy,1.1511091431629141,388.35,11,1,1.0982989588085228,17,17.969
13.096,46.352,38809.0,2024-11-10 17:10:00,0.0,0.043,0.0,0.835,531.0,131.0,3891.0,5177000000000.0,8.09e-07,Venice_Italy,1.0246915246115054,388.09,11,1,1.0812730839675053,17,0.835
13.143,46.366,38816.0,2024-11-10 17:10:00,0.0,0.0654,0.0,1.841,499.0,123.0,3927.0,4291000000000.0,1.228e-06,Venice_Italy,1.0811422535673634,388.16,11,1,1.1074651064905603,17,1.841
13.19,46.38,38825.0,2024-11-10 17:10:00,0.0,0.1692,0.0,5.328,353.0,115.0,3913.0,4556000000000.0,1.418e-06,Venice_Italy,1.1537973596773794,388.25,11,1,1.1069327931926294,17,5.328
13.236,46.394,38832.0,2024-11-10 17:10:00,0.0,0.3836,0.0,12.572,203.0,107.0,3887.0,4872000000000.0,1.535e-06,Venice_Italy,1.1428063514017877,388.32,11,1,1.101070477255157,17,12.572
13.282,46.408,38842.0,2024-11-10 17:10:00,0.0,2.8719,0.0,72.548,35.0,97.0,0.0,5949000000000.0,1.578e-06,Venice_Italy,1.1636465241718996,388.42,11,1,1.1045032306719629,17,72.548
13.215,46.443,38816.0,2024-11-10 17:20:00,0.0,0.0519,0.0,1.378,540.0,125.0,3905.0,4403000000000.0,1.17e-06,Venice_Italy,1.087779375733409,388.16,11,1,1.1074651064905603,17,1.378
13.262,46.457,38822.0,2024-11-10 17:20:00,0.0,0.1474,0.0,4.51,384.0,117.0,3874.0,4548000000000.0,1.396e-06,Venice_Italy,1.1530321218505906,388.22,11,1,1.1104734840304682,17,4.51
13.308,46.471,38832.0,2024-11-10 17:20:00,0.0,0.3276,0.0,10.494,233.0,109.0,3846.0,4868000000000.0,1.517e-06,Venice_Italy,1.1414593275995704,388.32,11,1,1.101070477255157,17,10.494
