station_id,latitude,longitude,elevation,name,lstyear
EZM00011520,50.0078,14.4469,302.0,PRAHA-LIBUS,2025
EZM00011747,49.4525,17.1347,214.8,PROSTEJOV,2025
FGM00081405,4.8222,-52.3653,8.0,CAYENNE MATOURY,2025
FIM00002836,67.3667,26.6289,179.0,SODANKYLA ARCTIC RESEARCH CENT,2025
FIM00002963,60.8139,23.4975,104.0,JOKIOINEN OBSERVATORY,2025
FJM00091680,-17.75,177.45,13.0,NADI AIRPORT,2025
FKM00088889,-51.82,-58.4481,74.0,MOUNT PLEASANT AIRPORT,2025
FMM00091334,7.45,151.8333,3.0,TRUK/CAROLINE IS.,2025
FMM00091348,6.95,158.2,38.0,PONAPE/CAROLINE IS.,2025
FMM00091413,9.4833,138.0667,15.0,YAP/CAROLINE IS.,2025
FOM00006011,62.0231,-6.7647,54.0,TORSHAVN,2025
FPM00091925,-9.8061,-139.0356,51.0,HIVA-OA,2025
FPM00091938,-17.5553,-149.6145,2.0,TAHITI-FAAA,2025
FPM00091948,-23.1303,-134.9653,91.0,MANGAREVA,2024
FPM00091958,-27.6183,-144.3347,2.0,RAPA,2025
FRM00007110,48.4442,-4.4119,99.0,BREST-GUIPAVAS,2025
FRM00007145,48.7744,2.0097,167.0,TRAPPES,2025
FRM00007510,44.8306,-0.6914,51.0,BORDEAUX MERIGNAC,2025
FRM00007645,43.8569,4.4064,60.0,NIMES-COURBESSAC,2025
FRM00007761,41.9181,8.7928,6.0,AJACCIO,2025
FSM00061998,-49.3522,70.2433,29.0,PORT-AUX-FRANCAIS,2025
GBM00064500,0.45,9.4167,12.0,LIBREVILLE,2024
GLM00004202,76.533,-68.75,77.0,PITUFFIK,2024
GLM00004220,68.7081,-52.8517,43.0,AASIAAT (EGEDESMINDE),2025
GLM00004270,61.1667,-45.4167,34.0,MITTARFIK NARSARSUAQ,2025
GLM00004320,76.7694,-18.6681,11.0,DANMARKSHAVN,2025
GLM00004339,70.4844,-21.9511,70.0,ITTOQQORTOORMIIT,2025
GLM00004360,65.6111,-37.6367,54.0,TASIILAQ (AMMASSALIK),2025
GLM00004417,72.5803,-38.4586,3255.0,GEOSUMMIT,2025
GMM00010035,54.5333,9.55,47.0,SCHLESWIG,2025
GMM00010113,53.7139,7.1525,11.0,NORDERNEY,2025
GMM00010184,54.0978,13.4075,2.0,GREIFSWALD,2025
GMM00010238,52.8153,9.9247,70.0,BERGEN,2025
GMM00010304,52.7156,7.3175,19.0,MEPPEN,2025
GMM00010393,52.2167,14.1167,112.0,LINDENBERG,2025
GMM00010410,51.4056,6.9686,153.0,ESSEN-BREDENEY,2025
GMM00010548,50.5617,10.3772,450.0,MEININGEN,2025
GMM00010618,49.6928,7.3264,376.0,IDAR-OBERSTEIN,2025
GMM00010739,48.8333,9.2,314.0,STUTTGART/SCHNARRENBERG,2025
GMM00010771,49.4283,11.9022,417.0,KUEMMERSBRUCK,2025
GMM00010868,48.2442,11.5525,484.0,MUENCHEN-OBERSCHLEISSHEIM,2025
GMM00010954,47.8342,10.8667,756.0,ALTENSTADT,2025
GMM00010962,47.8019,11.0119,977.0,HOHENPEISSENBERG,2025
GPM00078897,16.2639,-61.5164,11.0,LE RAIZET AERO,2025
GQM00091212,13.4767,144.7944,75.4,WEATHER FORECAST OFFICE,2025
GRM00016622,40.5272,22.9714,6.7,THESSALONIKI (AIRPORT),2025
GRM00016716,37.8897,23.7417,43.1,ATHINAI HELLINIKON,2025
GRM00016754,35.3353,25.1819,35.0,HERAKLEION (AIRPORT),2025
HKM00045004,22.3272,114.1686,24.0,KOWLOON,2025
HRM00014240,45.8219,16.0336,123.0,ZAGREB/MAKSIMIR,2025
HRM00014430,44.0969,15.3403,78.0,ZADAR RS,2025
HUM00012843,47.4333,19.1833,138.0,BUDAPEST/PESTSZENTLORINC,2025
HUM00012982,46.25,20.1,82.0,SZEGED,2025
ICM00004018,63.9806,-22.595,52.0,KEFLAVIKURFLUGVOLLUR,2025
ICM00004089,65.2833,-14.4,23.0,EGILSSTADIR,2024
IDM00096009,5.1833,97.1333,87.0,LHOKSEUMAWE/MALIKUSSALEH,2025
IDM00096011,5.5167,95.4167,21.0,BANDA ACEH/BLANG BINTANG,2025
IDM00096015,4.25,96.1167,90.0,MEULABOH/CUT NYAK DHIEN,2025
IDM00096035,3.6403,98.8786,25.0,KUALANAMU MEDAN,2025
IDM00096073,1.55,98.8833,3.0,SIBOLGA/PINANGSORI,2025
